Iteration-index		e_normA		r_norm2
510		1.8786670724		6.3550702818
511		1.8746128492		6.2524866128
512		1.8701490055		5.6909314534
513		1.8662690031		5.3983607648
514		1.8627861076		5.7016593936
515		1.8594233135		5.7033112907
516		1.8555661098		5.6382709700
517		1.8514822121		5.8622983099
518		1.8468406471		6.0529043469
519		1.8419083100		6.6791783363
520		1.8364477927		7.1438821246
521		1.8300375705		7.4677731554
522		1.8232346432		7.9918309735
523		1.8166407835		8.1348086878
524		1.8088876606		8.1909726944
525		1.7997770108		8.7597562712
526		1.7901969624		9.1530619264
527		1.7811930935		9.4044651431
528		1.7708677945		8.7635677311
529		1.7599841311		8.3138806866
530		1.7519131664		7.7509776056
531		1.7462792461		6.5776050779
532		1.7418508068		5.3663334503
533		1.7387466025		4.5462011060
534		1.7364416550		4.2825348609
535		1.7342606830		4.0750417140
536		1.7320913955		3.8835779794
537		1.7299545823		3.8190937854
538		1.7280698609		3.8020846302
539		1.7263671067		3.9584038018
540		1.7246024981		3.9798270260
541		1.7223130789		4.1304273054
542		1.7196165876		4.8397551810
543		1.7165722823		5.4790920133
544		1.7125741675		5.8551441572
545		1.7079747660		6.3424569666
546		1.7026899942		6.9482049813
547		1.6968960986		7.4295928301
548		1.6891202262		7.8335226048
549		1.6804250068		8.3883450379
550		1.6721187599		8.3207029323
551		1.6634440088		7.9086041694
552		1.6536684409		7.6737087893
553		1.6441260827		8.0819238239
554		1.6351508249		8.3681126228
555		1.6266777876		8.0382400775
556		1.6184055462		7.3023269849
557		1.6101032203		7.3227838849
558		1.6031899277		7.3519844427
559		1.5962038029		7.2336447262
560		1.5884721043		7.0672166125
561		1.5800802278		7.0128313824
562		1.5717133390		7.1335446913
563		1.5646566888		6.9483943500
564		1.5578629935		6.9076028858
565		1.5509071591		6.6503402572
566		1.5437437390		6.3031681053
567		1.5378980289		5.7157188193
568		1.5331033963		5.3241555382
569		1.5293185867		5.3282100221
570		1.5258089582		4.9322415686
571		1.5226117990		4.6207901078
572		1.5195870091		4.4408511253
573		1.5166522379		4.4602289886
574		1.5138008828		4.5152864819
575		1.5108927595		4.3421403337
576		1.5078954550		4.2657569199
577		1.5050294232		4.3991630044
578		1.5025812930		4.1934685817
579		1.5002346510		4.0252340199
580		1.4976539952		4.1397072167
581		1.4948981635		4.8405876379
582		1.4912235892		5.6519182382
583		1.4862739759		6.2336035611
584		1.4803270325		6.3424841992
585		1.4744506829		6.6197607564
586		1.4674704874		6.8811764955
587		1.4579274220		7.6242927333
588		1.4466356149		8.3128270308
589		1.4359419017		9.1995555230
590		1.4240091125		9.1478105485
591		1.4109913459		9.1184556155
592		1.3987476916		8.8546475825
593		1.3869181187		8.3007467959
594		1.3761567569		7.5456615971
595		1.3669587079		6.9638316583
596		1.3597325053		6.6147666179
597		1.3540988893		6.3668873665
598		1.3486041509		5.5888823825
599		1.3433227750		5.4713292329
600		1.3383227848		5.7902954325
601		1.3331098528		5.8388327653
